PDF Link,State
https://s3.glo.texas.gov/ncu/SCANDOCS/archives_webfiles/arcmaps/webfiles/landgrants/PDFs/1/0/4/0/1040533.pdf,Texas
http://publications.iowa.gov/22677/1/ISU%20Premedical%20and%20Health%20Sciences.pdf,Iowa
https://apps.legislature.ky.gov/record/16RS/hb572/bill.pdf,Kentucky
https://stacks.cdc.gov/view/cdc/111162/cdc_111162_DS1.pdf,
https://www.cms.gov/files/document/cms-0057-f.pdf,
https://www.pers.ms.gov/Content/Handbooks/Member_Handbook.pdf,Mississippi
https://www.dhs.wisconsin.gov/publications/p03535-2025.pdf,Wisconsin
"https://www.courts.michigan.gov/4aec3b/siteassets/committees,-boards-special-initiatves/michigan-judicial-council/2024-genai-wg-report.pdf",Michigan
https://www.academia.edu/download/122015325/Paper24402.pdf,
https://www.utah.gov/pmn/files/980623.pdf,Utah
https://ceur-ws.org/Vol-2640/paper_7.pdf,
https://efsec.wa.gov/sites/default/files/2025-05/WEST_2023_CPE%20Cumulative%20Effects_20230109.pdf,Washington
https://www.education.ky.gov/districts/tech/Documents/2024%20KETS%20Timeline.pdf,Kentucky
https://www.senate.texas.gov/cmtes/82/c530/0518-AndreaHodge.pdf,Texas
https://www.usmcu.edu/Portals/218/MCCS%20Policies%20Manual%20MCO%20P1700_27B%20W%20CH%201.pdf,
https://portal.ct.gov/-/media/CAES/DOCUMENTS/Publications/Record_of_the_Year/CAES-Record-of-the-Year-2020-2021.pdf,Connecticut
https://plasujalis.com/published_manuscripts/vol-2-1-2025/PLASUJALIS-4874-30-53.pdf,
https://dpbh.nv.gov/uploadedFiles/dpbhnvgov/content/Boards/RBHPB/Meetings/2018/civil-commitment-continuum-of-care.pdf,Nevada
https://dpcpsi.nih.gov/sites/default/files/fy2020-performance-plan.pdf,
https://ahca.myflorida.com/content/download/22249/file/Complete_FL_CHIP_State_Plan_07132022.pdf,Florida
https://www.oregon.gov/highered/strategy-research/Documents/Reports/2024-talent-assessment.pdf,Oregon
https://sos.oregon.gov/audits/Documents/2024-07.pdf,Oregon
https://www.healthit.gov/sites/default/files/page/2020-03/HITAC%20Annual%20Report%20for%20FY19_508.pdf,
https://www.oregon.gov/oha/HPA/HP-HCW/Documents/2021-Health-Care-Workforce-Needs-Assessment.pdf,Oregon
https://www.oregon.gov/ogec/Documents/2021%20PO%20Guide%20Final%20Adopted.pdf,Oregon
